ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2013-08-22;1;8;2013;3;;;;1
2013-08-23;0;8;2013;4;1.0;1.0;;0
2013-08-24;0;8;2013;5;1.0;2.0;;0
2013-08-25;0;8;2013;6;1.0;3.0;;0
2013-08-26;0;8;2013;0;1.0;4.0;;0
2013-08-27;0;8;2013;1;1.0;5.0;;0
2013-08-28;0;8;2013;2;1.0;6.0;;0
2013-08-29;0;8;2013;3;1.0;7.0;;0
2013-08-30;0;8;2013;4;1.0;8.0;;0
2013-08-31;0;8;2013;5;1.0;9.0;;0
2013-09-01;0;9;2013;6;1.0;10.0;;0
2013-09-02;0;9;2013;0;1.0;11.0;;0
2013-09-03;0;9;2013;1;1.0;12.0;;0
2013-09-04;0;9;2013;2;1.0;13.0;;0
2013-09-05;0;9;2013;3;1.0;14.0;;0
2013-09-06;0;9;2013;4;1.0;15.0;;0
2013-09-07;0;9;2013;5;1.0;16.0;;0
2013-09-08;0;9;2013;6;1.0;17.0;;0
2013-09-09;0;9;2013;0;1.0;18.0;;0
2013-09-10;0;9;2013;1;1.0;19.0;;0
2013-09-11;0;9;2013;2;1.0;20.0;;0
2013-09-12;0;9;2013;3;1.0;21.0;;0
2013-09-13;0;9;2013;4;1.0;22.0;;0
2013-09-14;0;9;2013;5;1.0;23.0;;0
2013-09-15;0;9;2013;6;1.0;24.0;;0
2013-09-16;0;9;2013;0;1.0;25.0;;0
2013-09-17;0;9;2013;1;1.0;26.0;;0
2013-09-18;0;9;2013;2;1.0;27.0;;0
2013-09-19;0;9;2013;3;1.0;28.0;;0
2013-09-20;0;9;2013;4;1.0;29.0;;0
2013-09-21;0;9;2013;5;1.0;30.0;;0
2013-09-22;0;9;2013;6;1.0;31.0;;0
2013-09-23;0;9;2013;0;1.0;32.0;;0
2013-09-24;0;9;2013;1;1.0;33.0;;0
2013-09-25;0;9;2013;2;1.0;34.0;;0
2013-09-26;0;9;2013;3;1.0;35.0;;0
2013-09-27;0;9;2013;4;1.0;36.0;;0
2013-09-28;0;9;2013;5;1.0;37.0;;0
2013-09-29;0;9;2013;6;1.0;38.0;;0
2013-09-30;0;9;2013;0;1.0;39.0;;0
2013-10-01;0;10;2013;1;1.0;40.0;;0
2013-10-02;0;10;2013;2;1.0;41.0;;0
2013-10-03;0;10;2013;3;1.0;42.0;;0
2013-10-04;0;10;2013;4;1.0;43.0;;0
2013-10-05;0;10;2013;5;1.0;44.0;;0
2013-10-06;0;10;2013;6;1.0;45.0;;0
2013-10-07;0;10;2013;0;1.0;46.0;;0
2013-10-08;1;10;2013;1;1.0;47.0;;1
