ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2017-05-11;1;5;2017;3;;;;1
2017-05-12;0;5;2017;4;1.0;1.0;;0
2017-05-13;0;5;2017;5;1.0;2.0;;0
2017-05-14;0;5;2017;6;1.0;3.0;;0
2017-05-15;0;5;2017;0;1.0;4.0;;0
2017-05-16;0;5;2017;1;1.0;5.0;;0
2017-05-17;0;5;2017;2;1.0;6.0;;0
2017-05-18;0;5;2017;3;1.0;7.0;;0
2017-05-19;0;5;2017;4;1.0;8.0;;0
2017-05-20;0;5;2017;5;1.0;9.0;;0
2017-05-21;0;5;2017;6;1.0;10.0;;0
2017-05-22;0;5;2017;0;1.0;11.0;;0
2017-05-23;0;5;2017;1;1.0;12.0;;0
2017-05-24;0;5;2017;2;1.0;13.0;;0
2017-05-25;0;5;2017;3;1.0;14.0;;0
2017-05-26;0;5;2017;4;1.0;15.0;;0
2017-05-27;0;5;2017;5;1.0;16.0;;0
2017-05-28;0;5;2017;6;1.0;17.0;;0
2017-05-29;0;5;2017;0;1.0;18.0;;0
2017-05-30;0;5;2017;1;1.0;19.0;;0
2017-05-31;0;5;2017;2;1.0;20.0;;0
2017-06-01;0;6;2017;3;1.0;21.0;;0
2017-06-02;0;6;2017;4;1.0;22.0;;0
2017-06-03;0;6;2017;5;1.0;23.0;;0
2017-06-04;0;6;2017;6;1.0;24.0;;0
2017-06-05;0;6;2017;0;1.0;25.0;;0
2017-06-06;0;6;2017;1;1.0;26.0;;0
2017-06-07;0;6;2017;2;1.0;27.0;;0
2017-06-08;0;6;2017;3;1.0;28.0;;0
2017-06-09;0;6;2017;4;1.0;29.0;;0
2017-06-10;0;6;2017;5;1.0;30.0;;0
2017-06-11;0;6;2017;6;1.0;31.0;;0
2017-06-12;0;6;2017;0;1.0;32.0;;0
2017-06-13;0;6;2017;1;1.0;33.0;;0
2017-06-14;0;6;2017;2;1.0;34.0;;0
2017-06-15;0;6;2017;3;1.0;35.0;;0
2017-06-16;0;6;2017;4;1.0;36.0;;0
2017-06-17;0;6;2017;5;1.0;37.0;;0
2017-06-18;0;6;2017;6;1.0;38.0;;0
2017-06-19;0;6;2017;0;1.0;39.0;;0
2017-06-20;0;6;2017;1;1.0;40.0;;0
2017-06-21;0;6;2017;2;1.0;41.0;;0
2017-06-22;0;6;2017;3;1.0;42.0;;0
2017-06-23;0;6;2017;4;1.0;43.0;;0
2017-06-24;0;6;2017;5;1.0;44.0;;0
2017-06-25;0;6;2017;6;1.0;45.0;;0
2017-06-26;0;6;2017;0;1.0;46.0;;0
2017-06-27;0;6;2017;1;1.0;47.0;;0
2017-06-28;0;6;2017;2;1.0;48.0;;0
2017-06-29;0;6;2017;3;1.0;49.0;;0
2017-06-30;0;6;2017;4;1.0;50.0;;0
2017-07-01;0;7;2017;5;1.0;51.0;;0
2017-07-02;0;7;2017;6;1.0;52.0;;0
2017-07-03;0;7;2017;0;1.0;53.0;;0
2017-07-04;0;7;2017;1;1.0;54.0;;0
2017-07-05;0;7;2017;2;1.0;55.0;;0
2017-07-06;0;7;2017;3;1.0;56.0;;0
2017-07-07;0;7;2017;4;1.0;57.0;;0
2017-07-08;0;7;2017;5;1.0;58.0;;0
2017-07-09;0;7;2017;6;1.0;59.0;;0
2017-07-10;0;7;2017;0;1.0;60.0;;0
2017-07-11;0;7;2017;1;1.0;61.0;;0
2017-07-12;0;7;2017;2;1.0;62.0;;0
2017-07-13;0;7;2017;3;1.0;63.0;;0
2017-07-14;0;7;2017;4;1.0;64.0;;0
2017-07-15;0;7;2017;5;1.0;65.0;;0
2017-07-16;0;7;2017;6;1.0;66.0;;0
2017-07-17;0;7;2017;0;1.0;67.0;;0
2017-07-18;0;7;2017;1;1.0;68.0;;0
2017-07-19;0;7;2017;2;1.0;69.0;;0
2017-07-20;0;7;2017;3;1.0;70.0;;0
2017-07-21;0;7;2017;4;1.0;71.0;;0
2017-07-22;0;7;2017;5;1.0;72.0;;0
2017-07-23;0;7;2017;6;1.0;73.0;;0
2017-07-24;0;7;2017;0;1.0;74.0;;0
2017-07-25;0;7;2017;1;1.0;75.0;;0
2017-07-26;0;7;2017;2;1.0;76.0;;0
2017-07-27;0;7;2017;3;1.0;77.0;;0
2017-07-28;0;7;2017;4;1.0;78.0;;0
2017-07-29;0;7;2017;5;1.0;79.0;;0
2017-07-30;0;7;2017;6;1.0;80.0;;0
2017-07-31;0;7;2017;0;1.0;81.0;;0
2017-08-01;0;8;2017;1;1.0;82.0;;0
2017-08-02;0;8;2017;2;1.0;83.0;;0
2017-08-03;0;8;2017;3;1.0;84.0;;0
2017-08-04;0;8;2017;4;1.0;85.0;;0
2017-08-05;0;8;2017;5;1.0;86.0;;0
2017-08-06;0;8;2017;6;1.0;87.0;;0
2017-08-07;0;8;2017;0;1.0;88.0;;0
2017-08-08;0;8;2017;1;1.0;89.0;;0
2017-08-09;0;8;2017;2;1.0;90.0;;0
2017-08-10;0;8;2017;3;1.0;91.0;;0
2017-08-11;0;8;2017;4;1.0;92.0;;0
2017-08-12;0;8;2017;5;1.0;93.0;;0
2017-08-13;0;8;2017;6;1.0;94.0;;0
2017-08-14;0;8;2017;0;1.0;95.0;;0
2017-08-15;0;8;2017;1;1.0;96.0;;0
2017-08-16;0;8;2017;2;1.0;97.0;;0
2017-08-17;0;8;2017;3;1.0;98.0;;0
2017-08-18;0;8;2017;4;1.0;99.0;;0
2017-08-19;0;8;2017;5;1.0;100.0;;0
2017-08-20;0;8;2017;6;1.0;101.0;;0
2017-08-21;0;8;2017;0;1.0;102.0;;0
2017-08-22;0;8;2017;1;1.0;103.0;;0
2017-08-23;0;8;2017;2;1.0;104.0;;0
2017-08-24;0;8;2017;3;1.0;105.0;;0
2017-08-25;0;8;2017;4;1.0;106.0;;0
2017-08-26;0;8;2017;5;1.0;107.0;;0
2017-08-27;0;8;2017;6;1.0;108.0;;0
2017-08-28;0;8;2017;0;1.0;109.0;;0
2017-08-29;0;8;2017;1;1.0;110.0;;0
2017-08-30;0;8;2017;2;1.0;111.0;;0
2017-08-31;0;8;2017;3;1.0;112.0;;0
2017-09-01;0;9;2017;4;1.0;113.0;;0
2017-09-02;0;9;2017;5;1.0;114.0;;0
2017-09-03;0;9;2017;6;1.0;115.0;;0
2017-09-04;0;9;2017;0;1.0;116.0;;0
2017-09-05;0;9;2017;1;1.0;117.0;;0
2017-09-06;0;9;2017;2;1.0;118.0;;0
2017-09-07;0;9;2017;3;1.0;119.0;;0
2017-09-08;0;9;2017;4;1.0;120.0;;0
2017-09-09;0;9;2017;5;1.0;121.0;;0
2017-09-10;0;9;2017;6;1.0;122.0;;0
2017-09-11;0;9;2017;0;1.0;123.0;;0
2017-09-12;0;9;2017;1;1.0;124.0;;0
2017-09-13;0;9;2017;2;1.0;125.0;;0
2017-09-14;0;9;2017;3;1.0;126.0;;0
2017-09-15;0;9;2017;4;1.0;127.0;;0
2017-09-16;0;9;2017;5;1.0;128.0;;0
2017-09-17;0;9;2017;6;1.0;129.0;;0
2017-09-18;0;9;2017;0;1.0;130.0;;0
2017-09-19;0;9;2017;1;1.0;131.0;;0
2017-09-20;0;9;2017;2;1.0;132.0;;0
2017-09-21;0;9;2017;3;1.0;133.0;;0
2017-09-22;0;9;2017;4;1.0;134.0;;0
2017-09-23;0;9;2017;5;1.0;135.0;;0
