ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2020-07-17;6;7;2020;4;;;;1
2020-07-18;0;7;2020;5;6.0;1.0;;0
2020-07-19;0;7;2020;6;6.0;2.0;;0
2020-07-20;0;7;2020;0;6.0;3.0;;0
2020-07-21;0;7;2020;1;6.0;4.0;;0
2020-07-22;0;7;2020;2;6.0;5.0;;0
2020-07-23;0;7;2020;3;6.0;6.0;;0
2020-07-24;0;7;2020;4;6.0;7.0;;0
2020-07-25;0;7;2020;5;6.0;8.0;;0
2020-07-26;0;7;2020;6;6.0;9.0;;0
2020-07-27;0;7;2020;0;6.0;10.0;;0
2020-07-28;0;7;2020;1;6.0;11.0;;0
2020-07-29;0;7;2020;2;6.0;12.0;;0
2020-07-30;0;7;2020;3;6.0;13.0;;0
2020-07-31;0;7;2020;4;6.0;14.0;;0
2020-08-01;0;8;2020;5;6.0;15.0;;0
2020-08-02;0;8;2020;6;6.0;16.0;;0
2020-08-03;0;8;2020;0;6.0;17.0;;0
2020-08-04;0;8;2020;1;6.0;18.0;;0
2020-08-05;0;8;2020;2;6.0;19.0;;0
2020-08-06;0;8;2020;3;6.0;20.0;;0
2020-08-07;0;8;2020;4;6.0;21.0;;0
2020-08-08;0;8;2020;5;6.0;22.0;;0
2020-08-09;0;8;2020;6;6.0;23.0;;0
2020-08-10;0;8;2020;0;6.0;24.0;;0
2020-08-11;0;8;2020;1;6.0;25.0;;0
2020-08-12;0;8;2020;2;6.0;26.0;;0
2020-08-13;0;8;2020;3;6.0;27.0;;0
2020-08-14;0;8;2020;4;6.0;28.0;;0
2020-08-15;0;8;2020;5;6.0;29.0;;0
2020-08-16;0;8;2020;6;6.0;30.0;;0
2020-08-17;0;8;2020;0;6.0;31.0;;0
2020-08-18;0;8;2020;1;6.0;32.0;;0
2020-08-19;0;8;2020;2;6.0;33.0;;0
2020-08-20;0;8;2020;3;6.0;34.0;;0
2020-08-21;0;8;2020;4;6.0;35.0;;0
2020-08-22;0;8;2020;5;6.0;36.0;;0
2020-08-23;0;8;2020;6;6.0;37.0;;0
2020-08-24;0;8;2020;0;6.0;38.0;;0
2020-08-25;0;8;2020;1;6.0;39.0;;0
2020-08-26;0;8;2020;2;6.0;40.0;;0
2020-08-27;0;8;2020;3;6.0;41.0;;0
2020-08-28;0;8;2020;4;6.0;42.0;;0
2020-08-29;0;8;2020;5;6.0;43.0;;0
2020-08-30;0;8;2020;6;6.0;44.0;;0
2020-08-31;0;8;2020;0;6.0;45.0;;0
2020-09-01;0;9;2020;1;6.0;46.0;;0
2020-09-02;0;9;2020;2;6.0;47.0;;0
2020-09-03;0;9;2020;3;6.0;48.0;;0
2020-09-04;0;9;2020;4;6.0;49.0;;0
2020-09-05;0;9;2020;5;6.0;50.0;;0
2020-09-06;0;9;2020;6;6.0;51.0;;0
2020-09-07;0;9;2020;0;6.0;52.0;;0
2020-09-08;0;9;2020;1;6.0;53.0;;0
2020-09-09;0;9;2020;2;6.0;54.0;;0
2020-09-10;0;9;2020;3;6.0;55.0;;0
2020-09-11;3;9;2020;4;6.0;56.0;;1
2020-09-12;0;9;2020;5;3.0;1.0;56.0;0
2020-09-13;0;9;2020;6;3.0;2.0;56.0;0
2020-09-14;0;9;2020;0;3.0;3.0;56.0;0
2020-09-15;0;9;2020;1;3.0;4.0;56.0;0
2020-09-16;0;9;2020;2;3.0;5.0;56.0;0
2020-09-17;0;9;2020;3;3.0;6.0;56.0;0
2020-09-18;0;9;2020;4;3.0;7.0;56.0;0
2020-09-19;0;9;2020;5;3.0;8.0;56.0;0
2020-09-20;0;9;2020;6;3.0;9.0;56.0;0
2020-09-21;0;9;2020;0;3.0;10.0;56.0;0
2020-09-22;0;9;2020;1;3.0;11.0;56.0;0
2020-09-23;0;9;2020;2;3.0;12.0;56.0;0
2020-09-24;0;9;2020;3;3.0;13.0;56.0;0
2020-09-25;0;9;2020;4;3.0;14.0;56.0;0
2020-09-26;0;9;2020;5;3.0;15.0;56.0;0
2020-09-27;0;9;2020;6;3.0;16.0;56.0;0
2020-09-28;0;9;2020;0;3.0;17.0;56.0;0
2020-09-29;0;9;2020;1;3.0;18.0;56.0;0
2020-09-30;0;9;2020;2;3.0;19.0;56.0;0
2020-10-01;0;10;2020;3;3.0;20.0;56.0;0
2020-10-02;0;10;2020;4;3.0;21.0;56.0;0
2020-10-03;0;10;2020;5;3.0;22.0;56.0;0
2020-10-04;0;10;2020;6;3.0;23.0;56.0;0
2020-10-05;0;10;2020;0;3.0;24.0;56.0;0
2020-10-06;0;10;2020;1;3.0;25.0;56.0;0
2020-10-07;0;10;2020;2;3.0;26.0;56.0;0
2020-10-08;0;10;2020;3;3.0;27.0;56.0;0
2020-10-09;3;10;2020;4;3.0;28.0;56.0;1
2020-10-10;0;10;2020;5;3.0;1.0;28.0;0
2020-10-11;0;10;2020;6;3.0;2.0;28.0;0
2020-10-12;0;10;2020;0;3.0;3.0;28.0;0
2020-10-13;0;10;2020;1;3.0;4.0;28.0;0
2020-10-14;0;10;2020;2;3.0;5.0;28.0;0
2020-10-15;0;10;2020;3;3.0;6.0;28.0;0
2020-10-16;0;10;2020;4;3.0;7.0;28.0;0
2020-10-17;0;10;2020;5;3.0;8.0;28.0;0
2020-10-18;0;10;2020;6;3.0;9.0;28.0;0
2020-10-19;0;10;2020;0;3.0;10.0;28.0;0
2020-10-20;0;10;2020;1;3.0;11.0;28.0;0
2020-10-21;0;10;2020;2;3.0;12.0;28.0;0
2020-10-22;0;10;2020;3;3.0;13.0;28.0;0
2020-10-23;0;10;2020;4;3.0;14.0;28.0;0
2020-10-24;0;10;2020;5;3.0;15.0;28.0;0
2020-10-25;0;10;2020;6;3.0;16.0;28.0;0
2020-10-26;0;10;2020;0;3.0;17.0;28.0;0
2020-10-27;0;10;2020;1;3.0;18.0;28.0;0
2020-10-28;0;10;2020;2;3.0;19.0;28.0;0
2020-10-29;0;10;2020;3;3.0;20.0;28.0;0
2020-10-30;0;10;2020;4;3.0;21.0;28.0;0
2020-10-31;0;10;2020;5;3.0;22.0;28.0;0
2020-11-01;0;11;2020;6;3.0;23.0;28.0;0
2020-11-02;0;11;2020;0;3.0;24.0;28.0;0
2020-11-03;0;11;2020;1;3.0;25.0;28.0;0
2020-11-04;0;11;2020;2;3.0;26.0;28.0;0
2020-11-05;4;11;2020;3;3.0;27.0;28.0;1
2020-11-06;0;11;2020;4;4.0;1.0;27.0;0
2020-11-07;0;11;2020;5;4.0;2.0;27.0;0
2020-11-08;0;11;2020;6;4.0;3.0;27.0;0
2020-11-09;0;11;2020;0;4.0;4.0;27.0;0
2020-11-10;0;11;2020;1;4.0;5.0;27.0;0
2020-11-11;0;11;2020;2;4.0;6.0;27.0;0
2020-11-12;0;11;2020;3;4.0;7.0;27.0;0
2020-11-13;0;11;2020;4;4.0;8.0;27.0;0
2020-11-14;0;11;2020;5;4.0;9.0;27.0;0
2020-11-15;0;11;2020;6;4.0;10.0;27.0;0
2020-11-16;0;11;2020;0;4.0;11.0;27.0;0
2020-11-17;0;11;2020;1;4.0;12.0;27.0;0
2020-11-18;0;11;2020;2;4.0;13.0;27.0;0
2020-11-19;0;11;2020;3;4.0;14.0;27.0;0
2020-11-20;4;11;2020;4;4.0;15.0;27.0;1
2020-11-21;0;11;2020;5;4.0;1.0;15.0;0
2020-11-22;0;11;2020;6;4.0;2.0;15.0;0
2020-11-23;0;11;2020;0;4.0;3.0;15.0;0
2020-11-24;0;11;2020;1;4.0;4.0;15.0;0
2020-11-25;0;11;2020;2;4.0;5.0;15.0;0
2020-11-26;0;11;2020;3;4.0;6.0;15.0;0
2020-11-27;0;11;2020;4;4.0;7.0;15.0;0
2020-11-28;0;11;2020;5;4.0;8.0;15.0;0
2020-11-29;0;11;2020;6;4.0;9.0;15.0;0
2020-11-30;0;11;2020;0;4.0;10.0;15.0;0
2020-12-01;0;12;2020;1;4.0;11.0;15.0;0
2020-12-02;0;12;2020;2;4.0;12.0;15.0;0
2020-12-03;0;12;2020;3;4.0;13.0;15.0;0
2020-12-04;8;12;2020;4;4.0;14.0;15.0;1
2020-12-05;0;12;2020;5;8.0;1.0;14.0;0
2020-12-06;0;12;2020;6;8.0;2.0;14.0;0
2020-12-07;0;12;2020;0;8.0;3.0;14.0;0
2020-12-08;0;12;2020;1;8.0;4.0;14.0;0
2020-12-09;0;12;2020;2;8.0;5.0;14.0;0
2020-12-10;0;12;2020;3;8.0;6.0;14.0;0
2020-12-11;0;12;2020;4;8.0;7.0;14.0;0
2020-12-12;0;12;2020;5;8.0;8.0;14.0;0
2020-12-13;0;12;2020;6;8.0;9.0;14.0;0
2020-12-14;0;12;2020;0;8.0;10.0;14.0;0
2020-12-15;0;12;2020;1;8.0;11.0;14.0;0
2020-12-16;0;12;2020;2;8.0;12.0;14.0;0
2020-12-17;0;12;2020;3;8.0;13.0;14.0;0
2020-12-18;0;12;2020;4;8.0;14.0;14.0;0
2020-12-19;0;12;2020;5;8.0;15.0;14.0;0
2020-12-20;0;12;2020;6;8.0;16.0;14.0;0
2020-12-21;0;12;2020;0;8.0;17.0;14.0;0
2020-12-22;0;12;2020;1;8.0;18.0;14.0;0
2020-12-23;0;12;2020;2;8.0;19.0;14.0;0
2020-12-24;0;12;2020;3;8.0;20.0;14.0;0
2020-12-25;0;12;2020;4;8.0;21.0;14.0;0
2020-12-26;0;12;2020;5;8.0;22.0;14.0;0
2020-12-27;0;12;2020;6;8.0;23.0;14.0;0
2020-12-28;0;12;2020;0;8.0;24.0;14.0;0
2020-12-29;0;12;2020;1;8.0;25.0;14.0;0
2020-12-30;0;12;2020;2;8.0;26.0;14.0;0
2020-12-31;0;12;2020;3;8.0;27.0;14.0;0
2021-01-01;0;1;2021;4;8.0;28.0;14.0;0
2021-01-02;0;1;2021;5;8.0;29.0;14.0;0
2021-01-03;0;1;2021;6;8.0;30.0;14.0;0
2021-01-04;0;1;2021;0;8.0;31.0;14.0;0
2021-01-05;0;1;2021;1;8.0;32.0;14.0;0
2021-01-06;0;1;2021;2;8.0;33.0;14.0;0
2021-01-07;0;1;2021;3;8.0;34.0;14.0;0
2021-01-08;0;1;2021;4;8.0;35.0;14.0;0
2021-01-09;0;1;2021;5;8.0;36.0;14.0;0
2021-01-10;0;1;2021;6;8.0;37.0;14.0;0
2021-01-11;0;1;2021;0;8.0;38.0;14.0;0
2021-01-12;0;1;2021;1;8.0;39.0;14.0;0
2021-01-13;0;1;2021;2;8.0;40.0;14.0;0
2021-01-14;0;1;2021;3;8.0;41.0;14.0;0
2021-01-15;0;1;2021;4;8.0;42.0;14.0;0
2021-01-16;0;1;2021;5;8.0;43.0;14.0;0
2021-01-17;0;1;2021;6;8.0;44.0;14.0;0
2021-01-18;0;1;2021;0;8.0;45.0;14.0;0
2021-01-19;0;1;2021;1;8.0;46.0;14.0;0
2021-01-20;0;1;2021;2;8.0;47.0;14.0;0
2021-01-21;0;1;2021;3;8.0;48.0;14.0;0
2021-01-22;0;1;2021;4;8.0;49.0;14.0;0
2021-01-23;0;1;2021;5;8.0;50.0;14.0;0
2021-01-24;0;1;2021;6;8.0;51.0;14.0;0
2021-01-25;0;1;2021;0;8.0;52.0;14.0;0
2021-01-26;0;1;2021;1;8.0;53.0;14.0;0
2021-01-27;0;1;2021;2;8.0;54.0;14.0;0
2021-01-28;2;1;2021;3;8.0;55.0;14.0;1
2021-01-29;0;1;2021;4;2.0;1.0;55.0;0
2021-01-30;0;1;2021;5;2.0;2.0;55.0;0
2021-01-31;0;1;2021;6;2.0;3.0;55.0;0
2021-02-01;0;2;2021;0;2.0;4.0;55.0;0
2021-02-02;0;2;2021;1;2.0;5.0;55.0;0
2021-02-03;0;2;2021;2;2.0;6.0;55.0;0
2021-02-04;0;2;2021;3;2.0;7.0;55.0;0
2021-02-05;0;2;2021;4;2.0;8.0;55.0;0
2021-02-06;0;2;2021;5;2.0;9.0;55.0;0
2021-02-07;0;2;2021;6;2.0;10.0;55.0;0
2021-02-08;0;2;2021;0;2.0;11.0;55.0;0
2021-02-09;0;2;2021;1;2.0;12.0;55.0;0
2021-02-10;0;2;2021;2;2.0;13.0;55.0;0
2021-02-11;0;2;2021;3;2.0;14.0;55.0;0
2021-02-12;2;2;2021;4;2.0;15.0;55.0;1
2021-02-13;0;2;2021;5;2.0;1.0;15.0;0
2021-02-14;0;2;2021;6;2.0;2.0;15.0;0
2021-02-15;0;2;2021;0;2.0;3.0;15.0;0
2021-02-16;0;2;2021;1;2.0;4.0;15.0;0
2021-02-17;0;2;2021;2;2.0;5.0;15.0;0
2021-02-18;0;2;2021;3;2.0;6.0;15.0;0
2021-02-19;0;2;2021;4;2.0;7.0;15.0;0
2021-02-20;0;2;2021;5;2.0;8.0;15.0;0
2021-02-21;0;2;2021;6;2.0;9.0;15.0;0
2021-02-22;0;2;2021;0;2.0;10.0;15.0;0
2021-02-23;0;2;2021;1;2.0;11.0;15.0;0
2021-02-24;0;2;2021;2;2.0;12.0;15.0;0
2021-02-25;0;2;2021;3;2.0;13.0;15.0;0
2021-02-26;15;2;2021;4;2.0;14.0;15.0;1
2021-02-27;0;2;2021;5;15.0;1.0;14.0;0
2021-02-28;0;2;2021;6;15.0;2.0;14.0;0
2021-03-01;0;3;2021;0;15.0;3.0;14.0;0
2021-03-02;0;3;2021;1;15.0;4.0;14.0;0
2021-03-03;0;3;2021;2;15.0;5.0;14.0;0
2021-03-04;0;3;2021;3;15.0;6.0;14.0;0
2021-03-05;0;3;2021;4;15.0;7.0;14.0;0
2021-03-06;0;3;2021;5;15.0;8.0;14.0;0
2021-03-07;0;3;2021;6;15.0;9.0;14.0;0
2021-03-08;0;3;2021;0;15.0;10.0;14.0;0
2021-03-09;0;3;2021;1;15.0;11.0;14.0;0
2021-03-10;0;3;2021;2;15.0;12.0;14.0;0
2021-03-11;0;3;2021;3;15.0;13.0;14.0;0
2021-03-12;0;3;2021;4;15.0;14.0;14.0;0
2021-03-13;0;3;2021;5;15.0;15.0;14.0;0
2021-03-14;0;3;2021;6;15.0;16.0;14.0;0
2021-03-15;0;3;2021;0;15.0;17.0;14.0;0
2021-03-16;0;3;2021;1;15.0;18.0;14.0;0
2021-03-17;0;3;2021;2;15.0;19.0;14.0;0
2021-03-18;0;3;2021;3;15.0;20.0;14.0;0
2021-03-19;0;3;2021;4;15.0;21.0;14.0;0
2021-03-20;0;3;2021;5;15.0;22.0;14.0;0
2021-03-21;0;3;2021;6;15.0;23.0;14.0;0
2021-03-22;0;3;2021;0;15.0;24.0;14.0;0
2021-03-23;0;3;2021;1;15.0;25.0;14.0;0
2021-03-24;0;3;2021;2;15.0;26.0;14.0;0
2021-03-25;0;3;2021;3;15.0;27.0;14.0;0
2021-03-26;0;3;2021;4;15.0;28.0;14.0;0
2021-03-27;0;3;2021;5;15.0;29.0;14.0;0
2021-03-28;0;3;2021;6;15.0;30.0;14.0;0
2021-03-29;0;3;2021;0;15.0;31.0;14.0;0
2021-03-30;0;3;2021;1;15.0;32.0;14.0;0
2021-03-31;0;3;2021;2;15.0;33.0;14.0;0
2021-04-01;0;4;2021;3;15.0;34.0;14.0;0
2021-04-02;0;4;2021;4;15.0;35.0;14.0;0
2021-04-03;0;4;2021;5;15.0;36.0;14.0;0
2021-04-04;0;4;2021;6;15.0;37.0;14.0;0
2021-04-05;0;4;2021;0;15.0;38.0;14.0;0
2021-04-06;0;4;2021;1;15.0;39.0;14.0;0
2021-04-07;0;4;2021;2;15.0;40.0;14.0;0
2021-04-08;0;4;2021;3;15.0;41.0;14.0;0
2021-04-09;0;4;2021;4;15.0;42.0;14.0;0
2021-04-10;0;4;2021;5;15.0;43.0;14.0;0
2021-04-11;0;4;2021;6;15.0;44.0;14.0;0
2021-04-12;0;4;2021;0;15.0;45.0;14.0;0
2021-04-13;0;4;2021;1;15.0;46.0;14.0;0
2021-04-14;0;4;2021;2;15.0;47.0;14.0;0
2021-04-15;0;4;2021;3;15.0;48.0;14.0;0
2021-04-16;0;4;2021;4;15.0;49.0;14.0;0
2021-04-17;0;4;2021;5;15.0;50.0;14.0;0
2021-04-18;0;4;2021;6;15.0;51.0;14.0;0
2021-04-19;0;4;2021;0;15.0;52.0;14.0;0
2021-04-20;0;4;2021;1;15.0;53.0;14.0;0
2021-04-21;0;4;2021;2;15.0;54.0;14.0;0
2021-04-22;0;4;2021;3;15.0;55.0;14.0;0
2021-04-23;0;4;2021;4;15.0;56.0;14.0;0
2021-04-24;0;4;2021;5;15.0;57.0;14.0;0
2021-04-25;0;4;2021;6;15.0;58.0;14.0;0
2021-04-26;0;4;2021;0;15.0;59.0;14.0;0
2021-04-27;0;4;2021;1;15.0;60.0;14.0;0
2021-04-28;0;4;2021;2;15.0;61.0;14.0;0
2021-04-29;0;4;2021;3;15.0;62.0;14.0;0
2021-04-30;0;4;2021;4;15.0;63.0;14.0;0
2021-05-01;0;5;2021;5;15.0;64.0;14.0;0
2021-05-02;0;5;2021;6;15.0;65.0;14.0;0
2021-05-03;0;5;2021;0;15.0;66.0;14.0;0
2021-05-04;0;5;2021;1;15.0;67.0;14.0;0
2021-05-05;0;5;2021;2;15.0;68.0;14.0;0
2021-05-06;0;5;2021;3;15.0;69.0;14.0;0
2021-05-07;6;5;2021;4;15.0;70.0;14.0;1
