ReceiptDate;Qty;Month;Year;WeekDay;LastQty;Interval;PeriodsSepLastTwoNnZeroDemands;ZNZDemand
2014-09-29;1;9;2014;0;;;;1
2014-09-30;0;9;2014;1;1.0;1.0;;0
2014-10-01;0;10;2014;2;1.0;2.0;;0
2014-10-02;0;10;2014;3;1.0;3.0;;0
2014-10-03;0;10;2014;4;1.0;4.0;;0
2014-10-04;0;10;2014;5;1.0;5.0;;0
2014-10-05;0;10;2014;6;1.0;6.0;;0
2014-10-06;0;10;2014;0;1.0;7.0;;0
2014-10-07;0;10;2014;1;1.0;8.0;;0
2014-10-08;0;10;2014;2;1.0;9.0;;0
2014-10-09;0;10;2014;3;1.0;10.0;;0
2014-10-10;0;10;2014;4;1.0;11.0;;0
2014-10-11;0;10;2014;5;1.0;12.0;;0
2014-10-12;0;10;2014;6;1.0;13.0;;0
2014-10-13;0;10;2014;0;1.0;14.0;;0
2014-10-14;1;10;2014;1;1.0;15.0;;1
2014-10-15;0;10;2014;2;1.0;1.0;15.0;0
2014-10-16;0;10;2014;3;1.0;2.0;15.0;0
2014-10-17;0;10;2014;4;1.0;3.0;15.0;0
2014-10-18;0;10;2014;5;1.0;4.0;15.0;0
2014-10-19;0;10;2014;6;1.0;5.0;15.0;0
2014-10-20;0;10;2014;0;1.0;6.0;15.0;0
2014-10-21;0;10;2014;1;1.0;7.0;15.0;0
2014-10-22;0;10;2014;2;1.0;8.0;15.0;0
2014-10-23;0;10;2014;3;1.0;9.0;15.0;0
2014-10-24;0;10;2014;4;1.0;10.0;15.0;0
2014-10-25;0;10;2014;5;1.0;11.0;15.0;0
2014-10-26;0;10;2014;6;1.0;12.0;15.0;0
2014-10-27;0;10;2014;0;1.0;13.0;15.0;0
2014-10-28;0;10;2014;1;1.0;14.0;15.0;0
2014-10-29;0;10;2014;2;1.0;15.0;15.0;0
2014-10-30;0;10;2014;3;1.0;16.0;15.0;0
2014-10-31;0;10;2014;4;1.0;17.0;15.0;0
2014-11-01;0;11;2014;5;1.0;18.0;15.0;0
2014-11-02;0;11;2014;6;1.0;19.0;15.0;0
2014-11-03;0;11;2014;0;1.0;20.0;15.0;0
2014-11-04;0;11;2014;1;1.0;21.0;15.0;0
2014-11-05;0;11;2014;2;1.0;22.0;15.0;0
2014-11-06;0;11;2014;3;1.0;23.0;15.0;0
2014-11-07;0;11;2014;4;1.0;24.0;15.0;0
2014-11-08;0;11;2014;5;1.0;25.0;15.0;0
2014-11-09;0;11;2014;6;1.0;26.0;15.0;0
2014-11-10;0;11;2014;0;1.0;27.0;15.0;0
2014-11-11;0;11;2014;1;1.0;28.0;15.0;0
2014-11-12;0;11;2014;2;1.0;29.0;15.0;0
2014-11-13;0;11;2014;3;1.0;30.0;15.0;0
2014-11-14;0;11;2014;4;1.0;31.0;15.0;0
2014-11-15;0;11;2014;5;1.0;32.0;15.0;0
2014-11-16;0;11;2014;6;1.0;33.0;15.0;0
2014-11-17;0;11;2014;0;1.0;34.0;15.0;0
2014-11-18;0;11;2014;1;1.0;35.0;15.0;0
2014-11-19;0;11;2014;2;1.0;36.0;15.0;0
2014-11-20;0;11;2014;3;1.0;37.0;15.0;0
2014-11-21;0;11;2014;4;1.0;38.0;15.0;0
2014-11-22;0;11;2014;5;1.0;39.0;15.0;0
2014-11-23;0;11;2014;6;1.0;40.0;15.0;0
2014-11-24;0;11;2014;0;1.0;41.0;15.0;0
2014-11-25;0;11;2014;1;1.0;42.0;15.0;0
2014-11-26;0;11;2014;2;1.0;43.0;15.0;0
2014-11-27;0;11;2014;3;1.0;44.0;15.0;0
2014-11-28;0;11;2014;4;1.0;45.0;15.0;0
2014-11-29;0;11;2014;5;1.0;46.0;15.0;0
2014-11-30;0;11;2014;6;1.0;47.0;15.0;0
2014-12-01;0;12;2014;0;1.0;48.0;15.0;0
2014-12-02;0;12;2014;1;1.0;49.0;15.0;0
2014-12-03;0;12;2014;2;1.0;50.0;15.0;0
2014-12-04;0;12;2014;3;1.0;51.0;15.0;0
2014-12-05;0;12;2014;4;1.0;52.0;15.0;0
2014-12-06;0;12;2014;5;1.0;53.0;15.0;0
2014-12-07;0;12;2014;6;1.0;54.0;15.0;0
2014-12-08;0;12;2014;0;1.0;55.0;15.0;0
2014-12-09;1;12;2014;1;1.0;56.0;15.0;1
2014-12-10;0;12;2014;2;1.0;1.0;56.0;0
2014-12-11;0;12;2014;3;1.0;2.0;56.0;0
2014-12-12;0;12;2014;4;1.0;3.0;56.0;0
2014-12-13;0;12;2014;5;1.0;4.0;56.0;0
2014-12-14;0;12;2014;6;1.0;5.0;56.0;0
2014-12-15;0;12;2014;0;1.0;6.0;56.0;0
2014-12-16;0;12;2014;1;1.0;7.0;56.0;0
2014-12-17;0;12;2014;2;1.0;8.0;56.0;0
2014-12-18;0;12;2014;3;1.0;9.0;56.0;0
2014-12-19;0;12;2014;4;1.0;10.0;56.0;0
2014-12-20;0;12;2014;5;1.0;11.0;56.0;0
2014-12-21;0;12;2014;6;1.0;12.0;56.0;0
2014-12-22;0;12;2014;0;1.0;13.0;56.0;0
2014-12-23;0;12;2014;1;1.0;14.0;56.0;0
2014-12-24;0;12;2014;2;1.0;15.0;56.0;0
2014-12-25;0;12;2014;3;1.0;16.0;56.0;0
2014-12-26;0;12;2014;4;1.0;17.0;56.0;0
2014-12-27;0;12;2014;5;1.0;18.0;56.0;0
2014-12-28;0;12;2014;6;1.0;19.0;56.0;0
2014-12-29;0;12;2014;0;1.0;20.0;56.0;0
2014-12-30;0;12;2014;1;1.0;21.0;56.0;0
2014-12-31;0;12;2014;2;1.0;22.0;56.0;0
2015-01-01;0;1;2015;3;1.0;23.0;56.0;0
2015-01-02;0;1;2015;4;1.0;24.0;56.0;0
2015-01-03;0;1;2015;5;1.0;25.0;56.0;0
2015-01-04;0;1;2015;6;1.0;26.0;56.0;0
2015-01-05;0;1;2015;0;1.0;27.0;56.0;0
2015-01-06;0;1;2015;1;1.0;28.0;56.0;0
2015-01-07;0;1;2015;2;1.0;29.0;56.0;0
2015-01-08;0;1;2015;3;1.0;30.0;56.0;0
2015-01-09;0;1;2015;4;1.0;31.0;56.0;0
2015-01-10;0;1;2015;5;1.0;32.0;56.0;0
2015-01-11;0;1;2015;6;1.0;33.0;56.0;0
2015-01-12;0;1;2015;0;1.0;34.0;56.0;0
2015-01-13;0;1;2015;1;1.0;35.0;56.0;0
2015-01-14;0;1;2015;2;1.0;36.0;56.0;0
2015-01-15;0;1;2015;3;1.0;37.0;56.0;0
2015-01-16;0;1;2015;4;1.0;38.0;56.0;0
2015-01-17;0;1;2015;5;1.0;39.0;56.0;0
2015-01-18;0;1;2015;6;1.0;40.0;56.0;0
2015-01-19;0;1;2015;0;1.0;41.0;56.0;0
2015-01-20;0;1;2015;1;1.0;42.0;56.0;0
2015-01-21;0;1;2015;2;1.0;43.0;56.0;0
2015-01-22;0;1;2015;3;1.0;44.0;56.0;0
2015-01-23;0;1;2015;4;1.0;45.0;56.0;0
2015-01-24;0;1;2015;5;1.0;46.0;56.0;0
2015-01-25;0;1;2015;6;1.0;47.0;56.0;0
2015-01-26;0;1;2015;0;1.0;48.0;56.0;0
2015-01-27;0;1;2015;1;1.0;49.0;56.0;0
2015-01-28;0;1;2015;2;1.0;50.0;56.0;0
2015-01-29;0;1;2015;3;1.0;51.0;56.0;0
2015-01-30;1;1;2015;4;1.0;52.0;56.0;1
